0x822b_2313_0,2|3|1|3,11236088076244964915,bcad
0x1af4_1222_0,1|2|2|2,2615346573134818058,adcb
0x1af4_1222_1,1|2|2|2,79990139096002445,abdc
0x1af4_1222_2,1|2|2|2,11241212926607192027,acbd
0x1af4_2221_0,2|2|2|1,11271852005456742095,bdca
0x1af4_2221_1,2|2|2|1,16524316813005888417,bcda
0x1af4_2213_0,2|2|1|3,4588703458409578874,cbad
0xbee8_2234_0,2|2|3|4,1335604110739673047,abcd
0x017f_1222_0,1|2|2|2,11825105036100132270,abdc
0x017f_2221_0,2|2|2|1,1181150407896522649,dcba
0x017f_2221_1,2|2|2|1,14310860110275443037,dcba
0x017f_2221_2,2|2|2|1,13740160619678209217,dcba
0x017f_2221_3,2|2|2|1,12883824511991726713,dcba
0xabea_2122_0,2|1|2|2,7555143607381278766,dabc
0xabea_2212_0,2|2|1|2,14146542731994048004,bdac
0xabea_1222_0,1|2|2|2,14783779577608810910,abcd
0xabea_1222_1,1|2|2|2,8676089685234862885,abdc
0xabea_2231_0,2|2|3|1,10137388639622592614,bcda
0xbeea_2313_0,2|3|1|3,8804669587949951238,bcad
0x8be8_1222_0,1|2|2|2,13865940529849765796,adcb
0x8be8_3242_0,3|2|4|2,12505143245101120304,cadb
0x8be8_2243_0,2|2|4|3,18322603486678555808,badc
0x8be8_4223_0,4|2|2|3,14834118148351144152,dabc
0x8be8_4223_1,4|2|2|3,12012669787779002561,dbac
0xaabd_2212_0,2|2|1|2,6200421919921251109,bcad
0xaabd_2122_0,2|1|2|2,3146388918475004952,cabd
0xaabd_2122_1,2|1|2|2,13584717896625650478,dacb
0xaabd_1222_0,1|2|2|2,10718616898884625919,adcb
0xaabd_1222_1,1|2|2|2,12057062807011908355,abcd
0x89fb_2212_0,2|2|1|2,13513274845163659924,bdac
0x89fb_2212_1,2|2|1|2,8516388647614211091,dbac
0x89fb_2212_2,2|2|1|2,3535280971218833976,dbac
0x89fb_2212_3,2|2|1|2,3129324411246198912,bdac
0x89fb_2212_4,2|2|1|2,11726273789827524316,dcab
0x89fb_2212_5,2|2|1|2,3346693402414065991,cbad
0x89fb_2321_0,2|3|2|1,1519670569804931115,cdba
0x699f_2212_0,2|2|1|2,10382277291916189895,cdab
0x699f_1333_0,1|3|3|3,14950663012793496077,acdb
0x99f9_2221_0,2|2|2|1,17079315250066756987,bdca
0x99f9_2122_0,2|1|2|2,16184829012922179012,dacb
0x99f9_1222_0,1|2|2|2,8680309844893661866,abcd
0x99f9_1222_1,1|2|2|2,1416852274272860194,acdb
0x99f9_1222_2,1|2|2|2,1387350871588798292,acbd
0x96eb_3133_0,3|1|3|3,4769770763755521426,dacb
0x96eb_3133_1,3|1|3|3,9480724192883709439,cabd
0x96eb_3133_2,3|1|3|3,3772955333587946999,dacb
0x96eb_3223_0,3|2|2|3,5087590523644286416,cabd
0x96eb_1332_0,1|3|3|2,15259025720896824116,adcb
0x96eb_2321_0,2|3|2|1,4049022402953616300,cdba
0x966f_1333_0,1|3|3|3,10276252869540437695,acdb
0xa8bf_2212_0,2|2|1|2,17919985267285993529,bcad
0xa8bf_2122_0,2|1|2|2,8494152431122400449,cabd
0xa8bf_2122_1,2|1|2|2,16465536072608179778,dabc
0xa8bf_2122_2,2|1|2|2,10137240450459804448,dacb
0xa8bf_2122_3,2|1|2|2,14660863199517313128,dabc
0xa8bf_2321_0,2|3|2|1,7772431939918458550,cdba
0x2aa8_2122_0,2|1|2|2,12956990381557315014,cabd
0x2aa8_2122_1,2|1|2|2,18350079440830422347,dabc
0x2aa8_2122_2,2|1|2|2,8368668095424942885,cabd
0x2aa8_2212_0,2|2|1|2,1248362661572022407,bcad
0x2aa8_1222_0,1|2|2|2,17412618926654298416,abcd
0x3cc6_3123_0,3|1|2|3,13920950184022268037,cabd
0x2be8_1111_0,1|1|1|1,17534675795803780764,bcda
0x2be8_1111_1,1|1|1|1,4553987023210571694,dabc
0x9ef2_3313_0,3|3|1|3,2004801464748055937,cdab
0x9ef2_3313_1,3|3|1|3,6747342050794728451,dcab
0x9ef2_3133_0,3|1|3|3,11064560230051038478,cabd
0x9ef2_3321_0,3|3|2|1,15796619895312229690,cdba
0x8aa8_1222_0,1|2|2|2,265045109017020632,abcd
0x8ee7_3232_0,3|2|3|2,2798017141530387894,cbda
0x8ee7_2342_0,2|3|4|2,18203558649606105133,acdb
0x8ee7_2423_0,2|4|2|3,8344244879291789543,adbc
0x8ee7_2423_1,2|4|2|3,3259500430287978598,adbc
0x8ee7_2432_0,2|4|3|2,10177356435487596304,bdca
0x8228_1222_0,1|2|2|2,6012215127638506845,abcd
0x8228_1222_1,1|2|2|2,12486700772997291679,abcd
0x8228_1213_0,1|2|1|3,17091813326981858474,bcad
0x8228_1123_0,1|1|2|3,17240980333140023887,abcd
0xe997_1233_0,1|2|3|3,18255610588963397012,abcd
0x867f_1333_0,1|3|3|3,15530519147495126013,acbd
0x867f_3133_0,3|1|3|3,10796048436147765154,dacb
0x867f_3331_0,3|3|3|1,12624016244863625053,dcba
0x867f_3331_1,3|3|3|1,8435613174497396999,dcba
